summary,comment
neutral,looking for cheap flight to vegas
neutral,"took delivery of N8661A, a new Boeing 737-8H4 yesterday. airlines"
positive,Thanks for the info! Have a good day.
negative,when I corrected the attendants error she gave me attitude made a rude show of taking back nuts said well i was Late Flight
positive,hey at least you guys are honest with your customers unlike Delta
neutral,"first time flyer, scheduled a (round)trip. set on departure date not sure on returning date, policy/fees on changing Re Flight"
negative,"she's still stranded in DC. Sat until 3:30am with 100 other kids. They were starving, and exhausted."
negative,flight 211pilot spilled his tea on the radio! Yay for delays! Almost an hour now!
neutral,"haha...yeah i did, just making a joke"
positive,Thank you so much for stepping up your game and making my day after night of elevator music. Much appreciated.
negative,"used to love you, but you keep rescheduling my flights.  southworst"
negative,where do we start? I've already wasted 1.5 hrs of phone wait time already :-(
negative,you Cancelled Flightled my flight to BNA. I have flight from BNA 2 MDW tomorrow AM. You stranded me in DEN. I've been on hold all day
positive,thanks I think we've got it figured out
neutral,from LGA to San Diego
negative,"missing out on over 6,000 points in one account. They're now spread over four assuming I create accounts for them"
negative,"right but the point was that my kids don't fly often, but I do. I bought four round trip tickets from DtW to PHX so I'm...."
positive,"I got a flight at 11:55am on Thursday but looking for something tomorrow, anything available?"
neutral,we desparately need yall to make a nonstop BNA- TUL! Cmon it'll be popular. 
neutral,thank you for the response. How can I got about getting the points onto my rewards account?
neutral,chances of flight leaving BNA tomorrow at 6:20 am (to LGA)?
positive,got it squared away. Thank you. I had a man on the inside help me out!
negative,please PM me the number where I can lodge formal complaints. Thx
negative,good thing we noticed because she had re-routed 7 total passengers on an impossible triple connection as well
negative,your gate agent re-routed an impossible itinerary and we had to find a new airline to get us home. Super bummed about this
negative,do you do auto callbacks so I don't have to wait on hold?
negative,Received email w/reso's to my email that isn't associated to SWA account I own with CC info for my sister. FRAUD please DM me
negative,Your onboard wifi is so bad it's taking me 20 minutes to send this tweet.  Working is off the table. disappointed
positive,"Another great flight  crew, Las Vegas-Chicago 3397. Thanks!"
negative,"I recommend upgrading your IVR and using call back, email, and texting from a know caller."
negative,you get to hold? called twice only to be kicked off.calls 3-6 phonedied
negative,why are you the ONLY airline that is not flying out of BNA today?
negative,"I have spent 87 minutes (and counting) on hold w/ you today. After first 48 minutes, I gave up. Trying again  on 43rd min."
negative,Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time
positive,"thanks, got put on the am flight tomorrow.  Don't have much faith it'll get off the ground tomorrow though."
positive,PaytonTaylor129 I love Southwest and Payton Taylor!
neutral,RDU flights expected to be ok this afternoon and tonight?
negative,they put me on the next flight available.. tomorrow morning :( Any idea if BNA will be open in the morning for my flight?
negative,Hey SWAir- a very tortured boarding on flight 1971 due to one gate agent having to board assisted folks one at a time.
negative,I understand a delay but to be stuck on the plane longer than the flight is unacceptable
neutral,I absolutely will. Where can I send it?
positive,no worries. You're doing the best u can. Already Cancelled Flighted my biz trip. Still $LUV you! -RR 1079871763
negative,in my 30 years of flying I have never been so pissed off.  To many incidents for just one flight.
negative,Heard apology ~45 times in the 60 mins I was on hold. Now flying from another airport at a different time but delayed AGAIN
neutral,Happily! But you need to follow me in order for me to DM you
negative,I will.make sure to tell everyone I know about this all around horrible experience. I will also post it on my business page.
negative,and currently as im bringing my 3 year old to the bathroom I'm being rushed by the flight attendant.
positive,no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!
negative,"worst customer service, Terrible attitudes. I don't care how big a storm.  Your employees need an attitude adjustment"
negative,are you kidding me?  I needed help yesterday. I'm now landed and waiting for my connection.  Never will I fly southwest again!
negative,can i have my bags back   ding!!
positive,always when I fly
positive,"thank you, someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response"
negative,Trying to add my dog on the flight but can't get through.
negative,I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.
positive,Thanks a ton!
positive,LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! LOVESOUTHWESTAIR
neutral,"Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!"
neutral,NotPghTimothy no exceptions for national awards?
neutral,any idea on flights to Nashville tomorrow being clear or Cancelled Flightled
positive,"its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx"
neutral,"I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!"
negative,no flights out of nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!
positive,Great job with the Passbook integration! It
negative,I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?
negative,condescension must be a quality your co rewards. Your tone reeks of it
positive,Great job!! Looking forward to my next trip being able to use this new feature!
neutral,could you tell me if any upgrades are available on a flight out of STL tomorrow morning.
